tweet_id,author_name,author_handle,text,timestamp,likes,retweets,replies,image_url,tweet_link
,Yo yo,@Yoyo37023843638,@RBI   @FibeIndia,2024-10-11T15:02:09.000Z,0,0,1,https://pbs.twimg.com/media/GZnjPD4aoAEdUfw?format=jpg&name=medium,https://x.com/Yoyo37023843638/status/1844755373108207887
,shiksha jha,@shiksha_jh5714,Again getting non stop calls ..I will share the recordings on mail and put cc RBI. PLS ASK THEM TO STOP DOING NON STOP CALLS now . Daily daily harassment mil rha h,2024-10-05T11:07:14.000Z,0,0,1,https://pbs.twimg.com/media/GZHz7bMXYAESaMH?format=jpg&name=small,https://x.com/shiksha_jh5714/status/1843210126553239823
,shiksha jha,@shiksha_jh5714,Okay so you mean to say that I have to listen their slang language right. There is so much difference between follow-up calls and slang calls don't expect me to receive this slang calls,2024-10-07T08:41:54.000Z,0,0,6,,https://x.com/shiksha_jh5714/status/1843210126553239823
,shiksha jha,@shiksha_jh5714,Kindly let me know Kisi agency ko Mera data diya hai main police case Karva Dungi ab,2024-10-09T12:09:47.000Z,0,0,0,,https://x.com/shiksha_jh5714/status/1843210126553239823
,Mukesh patil,@Mukeshpati77212,"@FibeIndia  I need to stop this , we have need a 2 to 3 month time for pay the EMI after tham and any collection team has coming for home we take legal action from him and company",2024-10-18T12:00:21.000Z,0,0,1,,https://x.com/Mukeshpati77212/status/1847246335260373246
,Fayaz Ahmed,@FayazAhmed178,"@FibeIndia   @RBI   @RBIsays   @FinMinIndia   @Sohanbhai111  
Dear fibe 
 Fayaz ahmed 
Loan id 1444396833
I have one loan from fibe ru authorised to agent abusing again and again take action on this person please stop this illegal activity please RBI take action this nbfc",2024-09-27T08:28:43.000Z,12,32,5,https://pbs.twimg.com/media/GYeC7BmbsAAKax2?format=jpg&name=small,https://x.com/MohaanMKC/status/1839989925468602564
,Mohaan MKC,@MohaanMKC,"Stop harrasement and illigal  activity, agent and agrncy need to punish and terminate",2024-09-28T11:25:58.000Z,0,0,1,,https://x.com/MohaanMKC/status/1839989925468602564
,Clerk,@ClerkDev,"Clerk's Organizations provide scalable user access management. 

Use RBAC to boost developer velocity and streamline role management of your application.",,0,286,87,,https://x.com/MohaanMKC/status/1839989925468602564
,Akash,@akashsam22,@FibeIndia  I AM AWAITING YOUR THOUGHTS TEAM FIBE ???,2024-10-05T20:43:39.000Z,0,0,1,,https://x.com/akashsam22/status/1843018939842150472
,Arbaaz Ansari,@aa_arbaaz22,@FibeIndia  Your agents are threatening to visit my office and harassing me despite my financial crisis and willingness to settle. This violates RBI guidelines. Please resolve this immediately.  #CustomerRights   #RBIGuidelines   #RespectDignity   #earlysalary   #fibe,2024-10-16T17:04:22.000Z,2,1,2,https://pbs.twimg.com/media/GaBvKE4WQAAyUWp?format=jpg&name=small,https://x.com/aa_arbaaz22/status/1846598069917217108
,ICE,@saattiisshh,"Understand their issues too.. 

One who r risky to return shd nit hv take  loans.. 

Banks used FDs to give u loans.. If u dont pay, it's a loss to banks.. 
They r ok to pay fines.. As then all will stop paying EmIs, go for settlement at a loss to lenders..",2024-10-18T04:31:34.000Z,0,0,0,,https://x.com/aa_arbaaz22/status/1846598069917217108
